Имя,Очки,Время


rfthty,2,2.500000000000001
reger,12,9.266666666666644
bybhty,8,5.299999999999991
gthtrh,4,3.299999999999998
gnf,4,3.4999999999999973
fdvbf,4,2.7666666666666666
ghfn,17,10.66666666666664
fge,15,31.033333333334035
htyj,7,10.799999999999972
tjt,11,9.066666666666645
vfdv,2,2.833333333333333
ytmu,0,18.866666666666763
hjyt,2,2.8
rbgtt,5,5.9999999999999885
jh,0,5.2333333333333245
ghc,0,6.766666666666652
,0,2.4333333333333345
eghr,5,13.36666666666663
bv,2,4.699999999999993
rgv,7,12.4333333333333
,1,1.633333333333335
fv,1,9.266666666666644
ghj,7,23.80000000000034
ertyuy,16,10.46666666666664
fh,8,10.333333333333307
mhg,0,19.300000000000118
vb,0,5.633333333333323
yun,4,25.833333333333776
gh,0,2.066666666666669
ygj,0,3.5333333333333306
tg,0,6.666666666666653
gh,0,1.933333333333336
thr,8,21.766666666666907
"h,i",0,6.199999999999988
uj,0,18.10000000000006
tu,4,33.73333333333398
thgr,8,21.466666666666892
bg,6,22.000000000000252
,0,3.266666666666665
ghdtr,0,32.000000000000746
dht,0,33.30000000000067
fgb,0,1.4333333333333345
vr,0,4.199999999999995
,1,8.933333333333312
dh,0,2.8
fb,0,5.5333333333333234
wret,9,16.933333333333334
gfbn,3,2.6333333333333337
fgj,0,3.0999999999999988
fjy,0,16.43333333333331
jy,0,1.7666666666666688
gnfh,0,2.333333333333335
vr,0,8.033333333333315
uyk,14,11.166666666666638
gm,1,14.466666666666626
fhtyj,0,10.866666666666639
ynh,0,7.233333333333317
fyjtyj,0,28.46666666666724
r5yu,0,29.26666666666728
rg,0,2.200000000000002
